Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
0,0,0,2.82857635606,0,0,.,627,0
2,3,3,1.25,2,2,232,626,0.5
0,0,0,2.16786085053,0,0,.,625,0
1,1,2,1.25,0,2,020,624,0.5
0,0,0,2.91633802753,0,0,.,623,0
2,3,1,1.25,3,2,313,622,0.5
0,0,0,2.85573306303,0,0,.,621,0
1,1,2,1.25,0,2,020,620,0.5
0,0,0,2.08707128896,0,0,.,619,0
2,3,2,1.25,1,1,211,618,0.5
0,0,0,2.18510678098,0,0,.,617,0
1,2,1,1.25,0,1,100,616,0.5
0,0,0,2.59901600854,0,0,.,615,0
1,1,2,1.25,0,2,020,614,0.5
0,0,0,2.69550622132,0,0,.,613,0
2,3,3,1.25,1,1,311,612,0.5
0,0,0,2.2860995734,0,0,.,611,0
1,1,1,1.25,0,1,100,610,0.5
0,0,0,2.15889487138,0,0,.,609,0
2,0,3,1.25,1,1,311,608,0.5
0,0,0,2.58831852761,0,0,.,607,0
2,3,1,1.25,3,3,331,606,0.5
0,0,0,2.02131276537,0,0,.,605,0
1,1,3,1.25,0,3,003,604,0.5
0,0,0,2.37928759284,0,0,.,603,0
2,3,2,1.25,1,3,112,602,0.5
0,0,0,2.57391462969,0,0,.,601,0
1,1,2,1.25,0,2,020,600,0.5
0,0,0,2.90278913432,0,0,.,599,0
2,3,3,1.25,2,1,322,598,0.5
0,0,0,2.61693030561,0,0,.,597,0
1,1,1,1.25,0,1,100,596,0.5
0,0,0,2.70386021326,0,0,.,595,0
2,3,3,1.25,1,2,131,594,0.5
0,0,0,2.55037365479,0,0,.,593,0
1,1,1,1.25,0,1,100,592,0.5
0,0,0,2.57805661258,0,0,.,591,0
2,0,2,1.25,3,3,332,590,0.5
0,0,0,2.33284371395,0,0,.,589,0
2,3,2,1.25,1,3,112,588,0.5
0,0,0,2.52135703619,0,0,.,587,0
1,1,1,1.25,0,1,100,586,0.5
0,0,0,2.6963004678,0,0,.,585,0
2,3,1,1.25,3,2,313,584,0.5
0,0,0,2.01392694622,0,0,.,583,0
1,1,3,1.25,0,3,003,582,0.5
0,0,0,2.25783279037,0,0,.,581,0
2,3,2,1.25,1,1,211,580,0.5
0,0,0,2.49382319875,0,0,.,579,0
1,2,2,1.25,0,2,020,578,0.5
0,0,0,2.51125460982,0,0,.,577,0
1,1,1,1.25,0,1,100,576,0.25
0,0,0,2.17929224608,0,0,.,575,0
1,1,3,1.25,0,3,003,574,0.25
0,0,0,2.24824131096,0,0,.,573,0
1,2,1,1.25,0,1,100,572,0.25
0,0,0,2.60515520947,0,0,.,571,0
2,3,3,1.25,1,1,311,570,0.25
0,0,0,2.95692858749,0,0,.,569,0
1,1,2,1.25,0,2,020,568,0.25
0,0,0,2.34716001568,0,0,.,567,0
1,1,3,1.25,0,3,003,566,0.25
0,0,0,2.44599324255,0,0,.,565,0
1,1,2,1.25,0,2,020,564,0.25
0,0,0,2.33363822374,0,0,.,563,0
2,3,2,1.25,3,3,332,562,0.25
0,0,0,2.55418116153,0,0,.,561,0
1,1,3,1.25,0,3,003,560,0.25
0,0,0,2.17301126384,0,0,.,559,0
1,1,1,1.25,0,1,100,558,0.25
0,0,0,2.52067817603,0,0,.,557,0
1,1,3,1.25,0,3,003,556,0.25
0,0,0,2.47366711715,0,0,.,555,0
2,0,3,1.25,2,2,232,554,0.25
0,0,0,2.37598616763,0,0,.,553,0
1,2,1,1.25,0,1,100,552,0.25
0,0,0,2.09893219926,0,0,.,551,0
1,1,2,1.25,0,2,020,550,0.25
0,0,0,2.10020135177,0,0,.,549,0
2,3,2,1.25,1,3,112,548,0.25
0,0,0,2.07842220427,0,0,.,547,0
1,1,3,1.25,0,3,003,546,0.25
0,0,0,2.82906289144,0,0,.,545,0
2,0,2,1.25,3,1,233,544,0.25
0,0,0,2.75032172058,0,0,.,543,0
1,1,2,1.25,0,2,020,542,0.25
0,0,0,2.44665551638,0,0,.,541,0
1,1,2,1.25,0,2,020,540,0.25
0,0,0,2.92213627329,0,0,.,539,0
1,1,3,1.25,0,3,003,538,0.25
0,0,0,2.42667853922,0,0,.,537,0
2,3,1,1.25,3,3,331,536,0.25
0,0,0,2.8572074482,0,0,.,535,0
1,1,2,1.25,0,2,020,534,0.25
0,0,0,2.43381342859,0,0,.,533,0
1,2,3,1.25,0,3,003,532,0.25
0,0,0,2.1824898279,0,0,.,531,0
1,1,2,1.25,0,2,020,530,0.25
0,0,0,2.29201771126,0,0,.,529,0
2,3,3,1.25,2,1,322,528,0.25
0,0,0,2.62697686043,0,0,.,527,0
1,2,3,1.25,0,3,003,526,0.25
0,0,0,2.51767687472,0,0,.,525,0
1,1,2,1.25,0,2,020,524,0.25
0,0,0,2.5101868253,0,0,.,523,0
1,2,1,1.25,0,1,100,522,0.25
